"X","content","headline","section_name","type_of_material"
835,"










WASHINGTON  For roughly 30 hours over several days, defense lawyers for three former United States Naval Academy football players grilled a female midshipman about her sexual habits. In a public hearing, they asked the woman, who has accused the three athletes of raping her, whether she wore a bra, how wide she opened her mouth during oral sex and whether she had apologized to another midshipman with whom she had intercourse for being a ho.        



The aggressive tactics on display this month and last are part of a case that has generated intense public scrutiny and raised alarms about what are called Article 32 proceedings, which help determine whether cases are sent to courts-martial. Article 32 hearings permit questions not allowed in civilian courts and can include cross-examinations of witnesses so intense that legal experts say they frighten many victims from coming forward.        
These have become their own trials, said Jonathan Lurie, a professor emeritus of legal history at Rutgers University and the author of two books on military justice. If this is what Article 32 has come to be, then it is time to either get rid of it or put real restrictions on the conduct during them.        
More broadly, the case at the Naval Academy illuminates what critics say is wrong with trying sexual assault cases in the current military justice system, which is under scrutiny in Congress. One bill to be debated this fall, sponsored by Senator Kirsten E. Gillibrand, Democrat of New York, would take the prosecution of sexual assault cases outside a victims chain of command, with a goal of increasing the number of people who report crimes without fear of retaliation.        
In the coming weeks, the military judge who presided over the female midshipmans hearing will send a recommendation to the Naval Academys superintendent on how the charges should be disposed of. The superintendent, Vice Adm. Michael H. Miller, will ultimately decide whether to move ahead with a court-martial or drop the case.        
Increased scrutiny of the problem of sexual assault in the military, combined with more reporting of attacks, has led to a large jump in the number of such cases that have gone to court-martial. The Defense Department says that 68 percent of sexual assault cases were sent to court-martial last year, compared with 30 percent in 2007.        
But those increases have been accompanied by a series of controversies that have roiled the system, including one at Lackland Air Force Base in Texas in which more than 40 female trainees were abused by their instructors, as well as the arrest in May of the director of the Air Forces sexual response unit, Lt. Col. Jeffrey Krusinski, for what the police said was his groping of a woman he did not know in a parking lot. A recent Pentagon survey found that an estimated 26,000 sexual assaults took place in the military last year, up from 19,000 two years before.        
The Naval Academy case stems from a 2012 yoga and toga off-campus party near the academy in Annapolis, Md., where the woman, then a 20-year-old sophomore, arrived intoxicated and continued to drink, she said. In testimony at the hearing, held at the Washington Navy Yard, she said she had no memory of parts of the evening and may have passed out.        
The next day, the woman testified, she heard from a friend of one of the three football players via social media that she had had sex with them at an Annapolis home known as the football house. The football players  Traves Bush, 22; Eric Graham, 21; and Joshua Tate, 21  were charged with sexually assaulting her and making false statements. The investigation was stymied in part by the womans initial refusal to cooperate, academy officials said.        
In the Article 32 cross-examination, defense lawyers repeatedly asked the midshipman about a consensual sexual encounter she said she had the next day. In some of the most widely disseminated testimony, Andrew Weinstein, a lawyer for Mr. Bush, asked the woman whether she wore a bra or other underwear to the party and whether she felt like a ho afterward. Lt. Cmdr. Angela Tang, a lawyer for Mr. Graham, also asked the woman repeatedly about her oral sex technique, arguing over objections from the prosecution that oral sex would indicate the active participation of the woman and therefore consent.        
Many military legal experts were appalled by what they heard. What this case shows is that we think the military justice system can somehow solve the sexual assault problem, but it cant, said Diane H. Mazur, an emeritus law professor at the University of Florida. Several military justice experts said Article 32 proceedings should be eliminated.        



 1  2 Next Page  



","Navy Hearing in Rape Case Raises Alarm","U.S.","News"
837,"










ISLAMABAD, Pakistan  The Pakistani government said Friday that it would release a senior Taliban commander on Saturday to facilitate peace talks in neighboring Afghanistan.        



The commander, Mullah Abdul Ghani Baradar, one of the founding members of the Taliban, has been in Pakistani custody since his arrest in a joint Pakistani and American intelligence raid in the port city of Karachi in 2010.        
The Ministry of Foreign Affairs announced his impending release in a brief statement on Friday evening. The statement said Mr. Baradar would be set free on Saturday but did not give further details.        
Pakistani officials previously said Mr. Baradar would not be handed over to the Afghan authorities despite longstanding demands from the Afghan government.        
President Hamid Karzai of Afghanistan raised the issue during a recent visit to Islamabad, the Pakistani capital, when he met with Prime Minister Nawaz Sharif.        
Pakistani officials portrayed the move as a good-will gesture that would help bring the Taliban and Afghanistan to the negotiating table as the United States prepares to withdraw from Afghanistan in 2014.        
The timing is quite significant, said Senator Mushahid Hussain Sayed, chairman of the defense committee in the Pakistani Senate, as he is an important, credible figure who has the potential to have outreach to the Taliban leaders.        
Mr. Sayed, who led a Pakistani delegation this month to Kabul, the Afghan capital, said, There was a positive response on this from the Kabul regime, which seems to have high hopes and greater confidence in the new Pakistani governments ability to deliver on Afghan-related issues.        
Pakistan has been steadily releasing Taliban prisoners, most recently during  the first week of September, when seven were freed.        
But the release of Mr. Baradar, who is the former top military commander of the Taliban movement, is the most significant, as it is seen as crucial to initiating the peace talks.        



 



","Pakistan to Free a Taliban Commander","World","News"
838,"







TURIN, Italy  Francesco Molinari shot a 5-under 67 Friday to share the lead after the second round of the Italian Open.        
Molinari tied Felipe Aguilar of Chile and Simon Thornton of Ireland at 9-under 135 at the Golf Club Torino.        
A Turin native, Molinari has been the center of attention at the tournament. He won the event in 2006.        
""This is a special, special week for me,"" Molinari said. ""I was emotional yesterday on the 10th tee at 8 a.m. with only 50 people watching, so now with all these people on my course, it's a great feeling.""        
Molinari's Ryder Cup teammate Nicolas Colsaerts lost his overnight lead when he bogeyed the 16th and 18th. He's one stroke back.        



 



","Francesco Molinari Shares Lead at Italian Open","Sports","News"
839,"




NEW YORK  Tough new limits on the amount of heat-trapping emissions new power plants can emit will likely accelerate a shift away from coal-fired power and toward electricity generated with natural gas, wind, and sunshine.        



Power prices for homes, businesses and factories may eventually rise, and nuclear power could return to fashion.        
The rule proposed by the Obama administration Friday will have little effect on the mix of power sources and electricity prices anytime soon because it only applies to new power plants and is likely to be challenged in court. Even so, market forces are already reshaping power markets in the same way the rule will. A boom in natural gas production in the U.S. has dramatically increased supplies, sent prices plummeting and prompted a shift away from coal.        
The rule requires new coal plants to be built with extremely expensive equipment to reduce carbon dioxide emissions. That will make coal look prohibitively expensive to regulators and utilities planning for the future. By comparison, natural gas-fired plants, which emit half as much carbon dioxide as coal plants, along with wind turbines and solar panels, will look like a bargain.        
Jason Bordoff, Director of Columbia University's Center on Global Energy Policy, called the rule ""consistent with already evolving market trends toward the use of natural gas instead of coal"" and described it as ""cost-effective.""        
Nonetheless, it creates financial winners and losers. Here's how the landscape could change for companies and customers.        
WINNERS        
 Natural gas. Most new natural gas-fired power plants will stay within the rule's emissions limits without requiring new equipment. That means natural-gas fired plants  already by far the cheapest power plant to build and operate  will likely remain the top choice for utilities.        
As utilities rely more on natural gas to generate electricity, demand for the fuel will increase and prices could rise. That would mean more revenue for domestic natural gas drillers such as ExxonMobil and Chesapeake Energy, drilling services companies such as Halliburton and Baker Hughes, and pipeline companies such as Spectra Energy and Kinder Morgan. It will also help makers of natural-gas fired turbines such as General Electric and Siemens.        
 Renewable energy. Wind and solar developers, such as NextEra Energy and FirstSolar, may see increased demand for large projects, especially if power prices rise. That would also help rooftop solar installers such as Solar City attract more interest from homes and businesses.        
 Nuclear power. Nuclear, like coal, has suffered from the low power prices brought on by cheap natural gas. Utilities have abandoned ambitious plans to build new nuclear plants and they've shut down aging plants that have become too expensive to run. If prices rise, nuclear operators such as Exelon and Entergy will benefit. And because the new rule makes new coal plants so expensive, utilities afraid of relying too heavily on natural gas for future power production may turn instead to nuclear.        
 Power generators. If electricity prices rise as coal use declines, companies that sell wholesale electric power, such NRG Energy and Calpine, may benefit.        
LOSERS        
 Coal miners. The U.S. coal industry is already struggling because coal supplies piled up and prices dropped as natural gas gained favor. U.S. production is expected to fall to a 20-year low this year, and 151 mines that employed 2,658 workers were idled in the first half of this year, according to SNL Energy.        
While coal will continue to be an important fuel for electricity generation in the U.S. for decades, it appears to be facing a long, slow decline. The country will get less and less coal from the comparatively high-cost Appalachian region, and more from cheaper-to-access coal deposits in the Illinois Basin and in Wyoming. Companies with large Appalachian operations, such as James River Coal and Alpha Natural Resources, will likely continue to suffer.        
 Electric customers. Natural gas prices generally dictate the price of all electricity in the U.S. If demand for natural gas rises faster than drillers supply it, the price will rise and drag power prices up too, possibly boosting electric bills for homes and businesses. In the past, natural gas prices have been extraordinarily volatile.        
Industrial companies, who have used low power prices in the U.S. as a competitive advantage, are concerned. The National Association of Manufacturers said in a statement Friday that the rule will ""hurt competitiveness and job creation.""        



 



","Pollution Rule Hurts Coal, Helps Other Sources","U.S.","News"
846,"










For the second year in a row, New York City Ballet has allied with high fashion for its fall gala. Last time, the costume designs were by Valentino, and the reviews of the event mostly described it as an artistic fiasco or insignificant. (I missed it.) By those standards, this recent program, at the David H. Koch Theater on Thursday, was a vast improvement. Only one part of the evening was apt to give you bad dreams.        



In between a John Adams orchestral fanfare and the finale of Balanchines Western Symphony came three world premieres, each with a different pairing of choreographer and fashion designer. Before each piece, a video peeked at the collaborative process. Such videos often feel superfluous or pandering, but these were charming, finding good humor in the conflicts between fashion and choreography. Marc Happel, the director of City Ballets costume shop, came off as a hero, a man you would want by your side in the artistic trenches.        
First was Capricious Maneuvers, by Justin Peck, the City Ballet soloist who has emerged in the last two years as its most exciting choreographer. The costumes, by Prabal Gurung, were respectful: for the three women, short dresses in white, black and red that moved well and added color and flair. The work, set to Lukas Fosss Capriccio, was only eight minutes long, but it packed in plenty.        
This is Mr. Pecks fourth piece for the company, and though the influences of other choreographers are patent, you wouldnt mistake his work for anyone elses. Capricious Maneuvers is a tightly constructed garment  nothing capricious about it  and yet it breathes freely. The title of the Adams orchestral fanfare  Short Ride in a Fast Machine  could have applied to it.        
Two men join the three women, and Mr. Peck shuffles two against three with great dexterity. The dancers are pattern makers, but they are also young people, drawn together in fellowship. Its characteristic of Mr. Peck that the women are happily slid under the onstage piano, and characteristic that that motif is varied to comically surprising effect. He pulls a thrilling recklessness out of his cast. Andrew Veyettes abandon has rarely seemed so dashing. Brittany Pollack, in a breakout performance, justified her red dress.        
Next came Neverwhere, by Benjamin Millepied, the former City Ballet principal recently named the director of the Paris Opera Ballet. The costumes, by Iris Van Herpen, are more attention-grabbing, made of scales of black plastic that sparkled in the light. The womens point shoes are also boots, a novel and provocative crossing of two kinds of female footwear with different associations of power.        
Though crinkly, the costumes work fine, and Mr. Millepieds dance for three couples attends closely to its score, Drones and Viola, by his frequent collaborator Nico Muhly. Though both the music and the dance are broken into sections  silences met with blackouts  its in fluency that choreographer and composer are well matched. Particularly in a late, tender duet for Sterling Hyltin and Tyler Angle, the endless thread typical of Mr. Millepieds partnering floats on Mr. Muhlys drone.        
Between the costumes and the pyramid cut out of the backdrop and the dancers gathering into inward-facing circles, Neverwhere is something of an alien rite. But its sci-fi sheen doesnt make it ridiculous, especially not in comparison with the evenings final premiere.        
Spectral Evidence, by the veteran French choreographer Angelin Preljocaj, had two sources of inspiration: the Salem witch trials and recordings of vocal music by John Cage. Olivier Theyskens has costumed the pieces four men in dark suits and clerical collars. The four women wear white dresses, each with a different patch of red silicon. The patches are distracting  one resembles a baboons buttocks  and not as meaningful as scarlet letters in a work where all the women are witches.        
The action begins promisingly enough, with men of the cloth seated on slabs. The four witches materialize from behind, covering the mens eyes and manipulating the mens bodies. Amar Ramasar and Robert Fairchild do a severe, puritanical dance to liturgical-sounding chant. Then Mr. Fairchild, precise and forceful throughout, smites the air with a two-handed karate chop. The slabs break into ramps, and the work starts to go downhill.        
Mr. Preljocajs choreography for these witches, who just want to be loved, and these hypocritical men, who find them tempting but sinful, has some drive and snap. (Tiler Peck, as usual, made the most of it.) But as the work continues, it comes to resemble a supernatural creature that just wont die. The lapses in taste get worse and worse, and the literal reductions of the breath noises and sound effects in the Cage compositions hit a nadir with poor Mr. Fairchilds acting possessed while lip-syncing.        
Its strange, no? the recorded voice he mouths asks in French. Yes, and not in a good sense. At best, City Ballet has acquired a Halloween dance. Too bad the fall season runs only until Oct. 13. That still gives you five more chances to see Spectral Evidence. Mr. Pecks and Mr. Millepieds works, which have more than car crash appeal, arent on the schedule. Is poor planning to blame? Fashion? Witchcraft?        



 
New York City Ballets fall season continues through Oct. 13 at the David H. Koch Theater, Lincoln Center; (212) 496-0600, nycballet.com. 
 



","Its Not What You Wear, Its How You Dance in It","Arts","Review"
855,"










WASHINGTON  A senior Obama administration official said Friday that the United States was encouraged by the initial inventory that the Syrian government had submitted of its chemical weapons arsenal.        



We were pleasantly surprised by the completeness of their declaration, said the official, who declined to be identified because he was not authorized to speak publicly on the matter.        
It was better than expected, he added.        
The Organization for the Prohibition of Chemical Weapons, the watchdog group known as the O.P.C.W. that oversees the international agreement banning poison gas, said on Friday that Syria had provided an initial declaration of its chemical weapons program.        
The submission met the first deadline for Syrian compliance that was set down by the framework agreement that the United States and Russia concluded in Geneva last weekend.        
American, British, Chinese, French and Russian diplomats are debating the terms of a United Nations Security Council resolution that would enforce the agreement. Secretary of State John Kerry said on Thursday that it was essential for the Council to adopt the resolution next week.        
It started coming in yesterday, Michael Luhan, a spokesman for the O.P.C.W., said of the Syrian declaration. Mr. Luhan, who spoke in a telephone interview from The Hague, said that the organizations technical experts were studying the declaration but would not give additional details.        
The declarations completeness is an early test of President Bashar al-Assads commitment to relinquish Syrias chemical weapons arsenal.        
The United States and Russia agreed in Geneva that Syria has about 1,000 tons of precursor chemicals and chemical agents, including sulfur mustard and sarin gas.        
The fact that Russia, which has been one of the principal supporters of the Assad government, reached a consensus with the United States on the size of the arsenal after receiving an intelligence briefing by American experts suggested that the Syrian government would eventually declare a similar figure.        
Still, American officials had been waiting to see if the Syrian declaration would be submitted within a week of the framework agreement, as the accord requires, and whether it would be comprehensive.        
Under the framework agreement, the declaration is to detail types and quantities of all its chemical agents, munitions and precursor chemicals as well as all laboratories for developing the agents and facilities for producing weapons.        
Marie Harf, the deputy State Department spokeswoman, would not characterize the Syrian declaration, saying only that the United States will make a careful and thorough review of the initial document.        
The O.P.C.W. does not publicly disclose the contents of declarations. But its assessment of the accuracy and thoroughness of Syrias statement will be crucial in determining how inspectors can best proceed with the agreements next stage, which includes far more formidable tests of the Assad governments cooperation.        
By November, international monitors are to inspect all of Syrias declared sites, and equipment to produce and mix chemical weapons is to be destroyed.        
Syrias entire arsenal is to be eliminated by the middle of 2014, although Mr. Assad has said that process could take a year.        
Under the framework agreement, the United States and Russia are to outline procedures for quickly eliminating Syrias chemical weapons program and verifying that the country is not hiding any weapons or stocks.        
An American and Russian draft outlining those procedures is subject to endorsement by the O.P.C.W. executive council, followed by codification in the Security Council resolution mandating elimination of Syrias chemical arsenal.        
The executive council was to have met this weekend, but instead will likely convene toward the middle or end of next week, said Mr. Luhan, who gave no reason for the delay.        
The United States has identified at least 45 sites associated with Syrias chemical weapons program and has suggested that half of them had exploitable quantities of chemical warfare materials, though American officials said Syrian forces had been moving stocks, so the locations could have changed.        
American officials said the sites where Syrias chemical weapons and stocks are held are controlled by Mr. Assads government. While Russia has agreed with the estimate of the size of Syrias arsenal, it has not endorsed the American list of the sites linked to the Syrian program.        



 
Michael R. Gordon reported from Washington, and Nick Cumming-Bruce from Geneva. 
 



","Syria Meets First Test of Accord on Weapons","World","News"
862,"










If Sammy Obeid has learned one thing from performing stand-up for 1,000 consecutive days, its to embrace his inner robot.        



Mr. Obeid, 29, who was to finish his Ironman project on Friday night, has long been a driven, goal-oriented perfectionist. He earned a 3.9 grade point average at the University of California, Berkeley, majoring in applied mathematics and business administration, before trying comedy, which he approached with the same rigor.        
Jokes can be very systematic, he said in an interview by Skype on Tuesday. What is the right word that fits in this blank to make this equation work? How does its meaning evoke the best laugh?        
His stand-up displays an analytic style full of wordplay, clever misdirection and ethnic humor riffing on his Middle Eastern roots (hes Lebanese-American). In one of his characteristic jokes, he says: I believe God is a woman. So I dont say Amen. I say, Thats what she said.        
As soon as he started performing six years ago, Mr. Obeid meticulously tracked the success rate of each joke. Now he gives them grades (A, A +, A++, A+++) based on quantity of laughs, and has organized the jokes into lists.        
This thing that I did is an example of who I am  a very mechanical, robotic person, I discovered that about myself, Mr. Obeid said.        
Originally, he undertook the 1,000-day project to accelerate his evolution as a comic. He was inspired partly by the 10,000-hour rule popularized by the writer Malcolm Gladwell, which says that an extreme amount of practice is required to become exceptional in a cognitively demanding pursuit.        
Mr. Obeid said he had been performing every day for around a year when he heard of another comic, Hal Sparks, who had done so for two consecutive years. So Mr. Obeid became determined to break the record: he picked a round number, 1,000, and established rules. To qualify, he would need to tell jokes for a minimum of three minutes, and his set had to be presented as a comedy show.        
Reflecting on his accomplishment, Mr. Obeid sounded proud, if slightly weary. Ive been dying for this to be over for the last year, he said.        
His streak may be unprecedented, but Mr. Obeid is still one of many comics who perform nightly, in multiple shows. The feat also raises a question often discussed in stand-up circles: how long does it take to master the art?        
Natural talent varies  and there are very funny young comics today, like Michael Che, who have had a lot of success in a short time  but the virtue of paying your dues is not only deeply ingrained, but it is also often talked about with great specificity in comedy. Mr. Gladwell focused on hours, but comedians are more likely to talk in years.        
In his address at the Just for Laughs festival this year, Colin Quinn said it took 10 years just to know if you were good. In an e-mail, the comic Amy Schumer got even more granular, estimating that if you have a talent for comedy, and work at it at least four nights a week, you can come up with a good 10-minute set in three years.        
A solid hour consistently takes 10 years, she wrote. I think maybe I dont know.        
That some comics emphasize years lived instead of time onstage hints at another argument, that stand-up, a personal art form that relies on the strength of one voice, requires life experience as much as practice. In an interview with the Web site Splitsider.com, Pete Holmes, a stand-up comic with a late-night talk show on TBS starting next month, argued against focusing exclusively on performing.        
I think you need to live a life worth commenting on, he said.        
Ken Reid, a comic from Boston with 11 years of experience, added that you can practice yourself out of being interesting. You need enough skill to be able to express yourself, he said, but Id much rather see an unpolished raw voice.        
Mr. Obeid said he had thought about this point, but concluded that rigorous, compulsive enterprise is a reflection of who he is. People have told me: We dont know who you are. We just see jokes, he said. Now Im like, Thats just me. Im a robot. I dont care. Im a machine. I stay in, do work, go to bed.        
At the same time, he recognized that his relentless schedule played a part in the breakup with his girlfriend.        
She was patient but wanted more from me, but I didnt give it because I wanted to put this first, he said, sounding downbeat. When she was gone, I realized I could have compromised.        
Still, his career has taken off. He made his late-night television debut on Wednesday on Conan. Hes working on a book and a documentary about the streak. After a 10-day rest, which begins after his 1,001st straight show in San Francisco on Saturday, Mr. Obeid will embark on a college tour. He says his onstage confidence is higher than ever, his writing leaner. With the tone of a war veteran, he talks about the nights his streak almost ended.        
On one Sunday late in his run, after failing to be booked at the Punch Line in San Francisco, Mr. Obeid was in a panic that the project would falter, so he showed up unannounced at a bar where he once appeared at an open-mike night. After much pleading, the manager turned off the karaoke machine to let him perform, but he was greeted with hostility and cursing.        
Five minutes in, a karaoke fan came up to Mr. Obeid, pretending to ask for a fist bump but instead punched him in the stomach. The music was turned back on, and the karaoke resumed.        
Id already done my five minutes, so I didnt care, Mr. Obeid said, relief washing over his face. It was worth it.        



 



","Wake Up, Be Funny, Do It Again 999 Times","Arts","News"
865,"










NBC quietly renewed the contract of its chief entertainment executive, Robert Greenblatt, extending his deal with the network until 2017.        



Executives confirmed the deal on Friday, insisting on anonymity because the network did not want to make an official announcement. Still, the decision represents a distinct vote of confidence in Mr. Greenblatt, who was put in place by the new Comcast management of NBC in January 2011, with the specific charge to reverse the long slide that had sunk NBC deep into last place in the networks prime-time ratings.        
NBC experienced a bit of resurgence last fall, especially with shows like The Voice and Revolution, then suffered another fallow period in the winter. But this season NBC has high hopes for several new series, including the comedy The Michael J. Fox Show and the drama The Blacklist.        
Probably not coincidentally, NBC did make one announcement on Friday: that it had finished second among the broadcast networks in ratings among viewers between 18 and 49  a prime sales group for advertisers  over 52 weeks. It was the first time NBC beat both ABC and Fox in that category for a full year since 2002-03.        



 



","Head of NBC Entertainment Extends Contract to 2017","Business Day","News"
866,"










MONTCLAIR, N.J.  Glacier, an enthralling and important new dance work lasting 60 minutes, by the choreographer Liz Gerring, abounds in arresting contradictions. The dancers look relaxed and galvanized. They hurl themselves into impetuous slides, skim across the stage in nimble footwork, push their way urgently backward on all fours, shimmer in turning or bobbing jumps  and yet, amid the formal structures, always keep an informal quality, never letting the steps acquire any veneer of academicism. Steps look natural, athletic and exploratory  even when they then come around a second or third time with other dancers. The work has wit without quirkiness, passion without emotionalism: its moods change like the weather, and its ebbs and flows carry aspects of poetry and excitement.        



This works world premiere was given on Thursday as part of the Peak Performances series at the Alexander Kasser Theater at Montclair State University, where Robert Wierzels designs made virtuoso use of the stage. The main area is backed by a single white board, like a blank cinema screen. This, however, is just the central panel of an all-white triptych, so lighted by Mr. Wierzel that we first wonder if were watching mirror effects on either side. This question is furthered by Ms. Gerrings choreography, which at times differentiates between the main stage area (dance) and visible wing space (nondance), but at other moments lets the dancing carry on into the wings, as if breaking down boundaries and worlds.        
The piece is marvelously heightened by Michael J. Schumachers music, from which the piece takes its title. He incorporates a field recording of sounds from a summer sojourn near Glacier Lake in Colorado into a score (taped, not played live) for guitar, harp, cello, clarinet, recorder, piano and other keyboard instruments. At times, patterns of sparse, descending two-note piano phrases recall Debussys tudes; we seem close to the flapping of wings; an overlap of different instruments suggests not musical harmony but a soundscape of wide multiplicity.        
Pleasure in this work is clinched by how individual Ms. Gerrings dancers look, and how specifically released by this choreography. I have admired Benjamin Asriel in works by several contemporary choreographers. Here  he arrives relatively late in the piece  he looks newly focused but free. In one phrase, as he tips slowly forward on one leg in an arabesque line, he becomes like the needle of a magnetic compass, piercingly direct in his adjustment of the angle.        
Brandon Collwes, best known from his years with the Merce Cunningham Dance Company, has always danced with a large-scale innocence; here that quality gains new intensity. Stepping repeatedly onto the ball of one foot in a series of turns but each time tilting his torso way to one side, he makes you feel in your own body the physics of the step. Tony Neidenbach, Adele Nickel, Brandin Steffensen, Jake Szczypek, Jessica Weiss and Claire Westby complete the team, changing the mood with each entry.        
Entrances and exits are lively ingredients of Ms. Gerrings style. Often, she makes compositional jokes out of them, no sooner bringing a dancer onstage than sending him off again, only to recall him a moment later, this time for an extended stay. Two women end a duet with an unforgettable exit. Side by side, they find themselves holding hands as they, jumping upward from both feet, slowly retreat on a diagonal path: its the way that they, parallel and synchronized in this wonderful image of navet, hover artlessly in each jump that catches the heart. Mr. Neidenbach, a longtime Gerring performer of marvelously athletic presence, enters by going around in a circle on one side of the stage as he alternately runs and walks.        
That alternation  run a half-circle, then walk another, with minimum gear change, repeatedly  is one of the dance contrasts that proliferate in this piece, rivetingly. Later  hauntingly  Mr. Neidenbach crosses the stage in one forward skipping hopscotch sequence of tiny but top-speed steps, then, without missing a beat, retreats backward in a big crawling phrase on all fours: two utterly opposed kinds of movement, both delivered coolly but excitingly.        
Another beauty of the Gerring style is the keen focus she gives to her dancers. They dont just do movement, they aim it. Witness the opening phrase: A man and a woman enter together, stand and wait, looking and bending forward. And then, simultaneously, they turn their eyes, heads and one arm upward and sideways. A simple stroke, it at once establishes the full three-dimensionality of their style. A later motif, also basic, is a side-to-side phrase in which the dancer throws up a right arm, then, stepping the other way, the left arm. The head turns to look at the view the arm has opened up. As you watch, you sense yourself doing it.        
At first, Glacier looks like a study in stylized pedestrianism, flat-footed, with the dancers showing how exactly they perform nonvirtuoso moves. But its texture builds up and grows complicated. Women, then men, travel on half-toe across the stage; jumps and turns enter the vocabulary. There are eight dancers, though usually fewer are onstage at any one time; it becomes customary to see several things going on simultaneously. Simple movements remain central, as when four men stand in a row, facing us, with arms outspread. One woman, entering, seems to listen to one mans heart; two other women, unnoticing, dance in the background.        
Dancers here are primarily soloists. But partnering does occur, both same sex and, especially, opposite sex. Theres a sequence for three male-female couples: while the geometric patterning is satisfying (they at one point correspond to the three screens behind), theres no one moral pattern for male-female behavior; you see women leading and supporting, as well as following and being lifted.        
As Glacier deepens and grows in texture, it changes from a seemingly analytical study into a diverse world. The analytical quality, which never vanishes, adds fascination. The diversity adds humanity. By scrutinizing movement and demonstrating its multifaceted complexity, Glacier proves not only absorbing but also moving.        



 
Glacier runs through Sunday at the Alexander Kasser Theater, Montclair State University, Montclair, N.J.; (973) 655-5112, peakperfs.org.  
 



","Icy White Synapses in a Crackling Heat","Arts","Review"
868,"




SAN SALVADOR  El Salvador have banned 14 international footballers for life for match-fixing, including some of their best-known and most experienced players.        



One other player was given an 18-month ban, two were suspended for six months, one was acquitted while four more face further investigation, the country's football federation (FESFUT) president Carlos Mendez told a news conference on Friday.        
""The work of the disciplinary commission has been exhaustive. We have used valuable information which has come from interviews, video accounts from people who have had the strength to declare and help us find those responsible,"" said Mendez.        
The 14 given life bans were goalkeepers Dagoberto Portillo and Miguel Montes, defenders Ramon Flores, Miguel Granadino, Luis Anaya, Mardoqueo Henriquez, Alfredo Pacheco, Marvin Gonzalez and Reynaldo Hernandez and midfielders Osael Romero, Darwin Bonilla, Dennis Alas, Ramon Sanchez and Christian Castillo.        
Pacheco, Romero, Gonzalez, Alas and Sanchez have more than 50 caps apiece.        
Carlos Romero was banned for 18 months, Eliseo Quintanilla and Victor Turcios for six each and Carlos Carillo was acquitted.        
Rodolfo Zelaya, Emerson Umana, Rodrigo Martinez, Benji Villalobos will face further investigation, FESFUT said.        
All 22 players had been provisionally suspended since August.        
""The national teams will continue with their agenda,"" added Mendez. ""The players pass by and the institutions are permanent.""        
Mendez said the matches affected included a 5-0 defeat by Mexico at the 2011 Gold Cup.        
Central America is especially vulnerable to match-fixing as many clubs struggle financially, playing conditions are poor and footballers often do not get paid on time.        
Last year Guatemalan internationals Guillermo Ramirez, Gustavo Cabrera and Yony Flores were banned for life by their country's federation for trying to persuade team mates to manipulate a friendly against Costa Rica.        
The case was brought to light by the then national team coach Ever Almeida and striker Carlos Ruiz.        
Nicaragua defender Armando Collado was also banned for life over a friendly against Guatemala played in 2010.        
(Reporting by Nelson Renteria, writing by Brian Homewood, editing by Tony Jimenez)        



 



","El Salvador Ban 14 Internationals for Life for Fixing","Sports","News"
